,dataset,method_a,method_b,nb_doc,inter5,inter10,rappel5,rappel10,good_inter,bad_inter,type
0,DUC-2001,Kea,Kea,308,4.990259740259741,9.928571428571429,0.0,0.0,0.0,9.928571428571429,news
1,DUC-2001,Kea,MPRank,308,2.3896103896103895,5.3896103896103895,0.0,0.0,0.0,5.3896103896103895,news
2,DUC-2001,MPRank,Kea,308,2.3896103896103895,5.3896103896103895,0.0,0.0,0.0,5.3896103896103895,news
3,DUC-2001,Kea,CorrRNN_News,308,0.8831168831168831,1.8506493506493507,0.0,0.0,0.0,1.8506493506493507,news
4,DUC-2001,CorrRNN_News,Kea,308,0.8831168831168831,1.8506493506493507,0.0,0.0,0.0,1.8506493506493507,news
5,DUC-2001,Kea,PositionRank,308,0.8181818181818182,2.814935064935065,0.0,0.0,0.0,2.814935064935065,news
6,DUC-2001,PositionRank,Kea,308,0.8181818181818182,2.814935064935065,0.0,0.0,0.0,2.814935064935065,news
7,DUC-2001,Kea,EmbedRank,308,0.7792207792207793,2.3344155844155843,0.0,0.0,0.0,2.3344155844155843,news
8,DUC-2001,EmbedRank,Kea,308,0.7792207792207793,2.3344155844155843,0.0,0.0,0.0,2.3344155844155843,news
9,DUC-2001,Kea,TfIdf,308,4.113636363636363,7.853896103896104,0.0,0.0,0.0,7.853896103896104,news
10,DUC-2001,TfIdf,Kea,308,4.113636363636363,7.853896103896104,0.0,0.0,0.0,7.853896103896104,news
11,DUC-2001,Kea,TextRank,308,0.2694805194805195,1.4967532467532467,0.0,0.0,0.0,1.4967532467532467,news
12,DUC-2001,TextRank,Kea,308,0.2694805194805195,1.4967532467532467,0.0,0.0,0.0,1.4967532467532467,news
13,DUC-2001,Kea,CopyRNN_News,308,0.9415584415584416,1.9155844155844155,0.0,0.0,0.0,1.9155844155844155,news
14,DUC-2001,CopyRNN_News,Kea,308,0.9415584415584416,1.9155844155844155,0.0,0.0,0.0,1.9155844155844155,news
15,DUC-2001,Kea,CopyRNN,308,1.5,2.977272727272727,0.0,0.0,0.0,2.977272727272727,news
16,DUC-2001,CopyRNN,Kea,308,1.5,2.977272727272727,0.0,0.0,0.0,2.977272727272727,news
17,DUC-2001,Kea,CorrRNN,308,1.224025974025974,2.909090909090909,0.0,0.0,0.0,2.909090909090909,news
18,DUC-2001,CorrRNN,Kea,308,1.224025974025974,2.909090909090909,0.0,0.0,0.0,2.909090909090909,news
19,DUC-2001,Kea,FirstPhrases,308,1.198051948051948,4.146103896103896,0.0,0.0,0.0,4.146103896103896,news
20,DUC-2001,FirstPhrases,Kea,308,1.198051948051948,4.146103896103896,0.0,0.0,0.0,4.146103896103896,news
21,DUC-2001,MPRank,MPRank,308,4.990259740259741,9.928571428571429,0.4448051948051948,0.538961038961039,0.538961038961039,9.38961038961039,news
22,DUC-2001,MPRank,CorrRNN_News,308,0.8181818181818182,1.7954545454545454,0.5292207792207793,0.6201298701298701,0.20454545454545456,1.5909090909090908,news
23,DUC-2001,CorrRNN_News,MPRank,308,0.8181818181818182,1.7954545454545454,0.5292207792207793,0.6201298701298701,0.20454545454545456,1.5909090909090908,news
24,DUC-2001,MPRank,PositionRank,308,1.2207792207792207,2.8798701298701297,0.6298701298701299,0.7337662337662337,0.4318181818181818,2.448051948051948,news
25,DUC-2001,PositionRank,MPRank,308,1.2207792207792207,2.8798701298701297,0.6298701298701299,0.7337662337662337,0.4318181818181818,2.448051948051948,news
26,DUC-2001,MPRank,EmbedRank,308,0.9285714285714286,2.2467532467532467,0.5909090909090909,0.7142857142857143,0.30844155844155846,1.9383116883116882,news
27,DUC-2001,EmbedRank,MPRank,308,0.9285714285714286,2.2467532467532467,0.5909090909090909,0.7142857142857143,0.30844155844155846,1.9383116883116882,news
28,DUC-2001,MPRank,TfIdf,308,2.103896103896104,4.805194805194805,0.4935064935064935,0.5876623376623377,0.3181818181818182,4.487012987012987,news
29,DUC-2001,TfIdf,MPRank,308,2.103896103896104,4.805194805194805,0.4935064935064935,0.5876623376623377,0.3181818181818182,4.487012987012987,news
30,DUC-2001,MPRank,TextRank,308,0.5194805194805194,1.594155844155844,0.5551948051948052,0.6785714285714286,0.21103896103896103,1.3831168831168832,news
31,DUC-2001,TextRank,MPRank,308,0.5194805194805194,1.594155844155844,0.5551948051948052,0.6785714285714286,0.21103896103896103,1.3831168831168832,news
32,DUC-2001,MPRank,CopyRNN_News,308,0.8214285714285714,1.844155844155844,0.5032467532467533,0.5974025974025974,0.17857142857142858,1.6655844155844155,news
33,DUC-2001,CopyRNN_News,MPRank,308,0.8214285714285714,1.844155844155844,0.5032467532467533,0.5974025974025974,0.17857142857142858,1.6655844155844155,news
34,DUC-2001,MPRank,CopyRNN,308,1.1753246753246753,2.607142857142857,0.4837662337662338,0.577922077922078,0.19805194805194806,2.409090909090909,news
35,DUC-2001,CopyRNN,MPRank,308,1.1753246753246753,2.607142857142857,0.4837662337662338,0.577922077922078,0.19805194805194806,2.409090909090909,news
36,DUC-2001,MPRank,CorrRNN,308,1.1266233766233766,2.642857142857143,0.5194805194805194,0.6266233766233766,0.3246753246753247,2.3181818181818183,news
37,DUC-2001,CorrRNN,MPRank,308,1.1266233766233766,2.642857142857143,0.5194805194805194,0.6266233766233766,0.3246753246753247,2.3181818181818183,news
38,DUC-2001,MPRank,FirstPhrases,308,1.672077922077922,4.308441558441558,0.5324675324675324,0.6136363636363636,0.4448051948051948,3.8636363636363638,news
